emote,month,count
Prayge,2021-06,1
Prayge,2021-08,1
Prayge,2021-12,330
Prayge,2022-01,544
Prayge,2022-02,351
Prayge,2022-03,219
Prayge,2022-04,54
Prayge,2022-05,49
Prayge,2022-06,26
Prayge,2022-07,32
Prayge,2022-08,26
Prayge,2022-09,15
Prayge,2022-10,15
Prayge,2022-11,16
Prayge,2022-12,27
Prayge,2023-01,18
Prayge,2023-02,9
Prayge,2023-03,45
Prayge,2023-04,44
Prayge,2023-05,46
Prayge,2023-06,42
Prayge,2023-07,15
Prayge,2023-08,24
Prayge,2023-09,35
Prayge,2023-10,24
Prayge,2023-11,21
Prayge,2023-12,20
Prayge,2024-01,11
Prayge,2024-02,2
Prayge,2024-03,29
Prayge,2024-04,7
Prayge,2024-05,20
Prayge,2024-06,14
Prayge,2024-07,13
Prayge,2024-08,14
Prayge,2024-09,14
Prayge,2024-10,12
Prayge,2024-11,14
Prayge,2024-12,32
Prayge,2025-01,10
Prayge,2025-02,8
Prayge,2025-03,8
Prayge,2025-04,1
Prayge,2025-05,2
Pog,2021-06,1
Pog,2021-08,86
Pog,2021-11,1
Pog,2021-12,151
Pog,2022-01,192
Pog,2022-02,399
Pog,2022-03,304
Pog,2022-04,68
Pog,2022-05,84
Pog,2022-06,83
Pog,2022-07,11
Pog,2022-08,26
Pog,2022-09,6
Pog,2022-10,37
Pog,2022-11,6
Pog,2022-12,47
Pog,2023-01,35
Pog,2023-02,55
Pog,2023-03,122
Pog,2023-04,54
Pog,2023-05,100
Pog,2023-06,88
Pog,2023-07,37
Pog,2023-08,71
Pog,2023-09,69
Pog,2023-10,36
Pog,2023-11,59
Pog,2023-12,42
Pog,2024-01,31
Pog,2024-02,21
Pog,2024-03,14
Pog,2024-04,17
Pog,2024-05,23
Pog,2024-06,20
Pog,2024-07,26
Pog,2024-08,33
Pog,2024-09,23
Pog,2024-10,1
Pog,2024-11,4
Pog,2024-12,15
Pog,2025-02,1
Pog,2025-03,2
Pog,2025-04,3
PepoThink,2021-07,3
PepoThink,2021-08,1
PepoThink,2021-12,5
PepoThink,2023-02,40
PepoThink,2023-03,122
PepoThink,2023-04,82
PepoThink,2023-05,93
PepoThink,2023-06,205
PepoThink,2023-07,41
PepoThink,2023-08,80
PepoThink,2023-09,171
PepoThink,2023-10,53
PepoThink,2023-11,21
PepoThink,2023-12,27
PepoThink,2024-01,19
PepoThink,2024-02,13
PepoThink,2024-03,27
PepoThink,2024-04,28
PepoThink,2024-05,62
PepoThink,2024-06,50
PepoThink,2024-07,55
PepoThink,2024-08,48
PepoThink,2024-09,33
PepoThink,2024-11,46
PepoThink,2024-12,251
PepoThink,2025-01,47
PepoThink,2025-02,21
PepoThink,2025-03,10
PepoThink,2025-04,4
LEKW,2021-08,215
LEKW,2021-09,5
LEKW,2021-11,30
LEKW,2021-12,559
LEKW,2022-01,732
LEKW,2022-02,1311
LEKW,2022-03,159
LEKW,2022-04,24
LEKW,2022-05,22
LEKW,2022-06,17
LEKW,2022-07,6
LEKW,2022-08,162
LEKW,2022-09,12
LEKW,2022-10,24
LEKW,2022-11,8
LEKW,2022-12,40
LEKW,2023-01,56
LEKW,2023-02,34
LEKW,2023-03,37
LEKW,2023-04,70
LEKW,2023-05,33
LEKW,2023-06,38
LEKW,2023-07,401
LEKW,2023-08,58
LEKW,2023-09,128
LEKW,2023-10,21
LEKW,2023-11,25
LEKW,2023-12,13
LEKW,2024-01,39
LEKW,2024-02,24
LEKW,2024-03,69
LEKW,2024-04,23
LEKW,2024-05,81
LEKW,2024-06,83
LEKW,2024-07,26
